Pfile	Actions	Goals	PlanTime	Cost
pfile1	11	2	0.02	11
pfile2	17	4	0.01	17
pfile3	30	6	0.02	30
pfile4	30	6	0.01	30
pfile5	43	10	1.56	43
pfile6	58	11	1.58	58
pfile7	21	5	0.39	21
pfile8	34	7	0.41	34
pfile9	57	13	2.77	57
pfile10	24	2	0.41	24
pfile11	48	10	0.78	48
pfile12	62	11	1.95	62
pfile13	25	6	0.41	25
pfile14	31	7	0.39	31
pfile15	79	15	2	79
pfile16	26	5	0.08	26
pfile17	26	7	0.41	26
pfile18	59	13	4.31	59
pfile19	44	7	0.39	44
pfile20	76	14	2.38	76
pfile21	35	8	0.78	35
pfile22	96	18	24.23	96
