Pfile	Actions	Goals	PlanTime	Cost
pfile1	11	2	0.41	44.625
pfile2	16	4	0.01	88.111
pfile3	29	6	0.39	61.125
pfile4	38	6	0.41	77
pfile5	75	10	113.86	310.619
pfile6	61	11	2.59	169.1
pfile7	25	5	0.02	187.714
pfile8	44	7	0.39	52.196
pfile9	78	13	1.56	1243.333
pfile10	28	4	0.03	187.083
pfile11	52	10	1.19	560.458
pfile12	63	11	2.73	87.567
pfile13	28	6	0.03	73.028
pfile14	35	7	0.41	138.4
pfile15	68	15	1.56	302.914
pfile16	27	5	0.05	58
pfile17	29	7	0.81	36.25
pfile18	83	13	65.64	200.968
pfile19	41	7	0.41	167.4
pfile20	83	14	157.53	257.427
pfile21	36	8	0.45	31.581
pfile22	101	18	16.61	288.054
