Pfile	Actions	Goals	PlanTime	Cost
plan1	7	4	0.01	777.2
plan2	19	7	0.41	980
plan3	12	6	0.02	907.7
plan4	17	9	0.01	842.8
plan5	26	8	0.02	1161.4
plan6	17	10	0.02	1329.9
plan7	13	10	0.41	886.8
plan8	25	11	0.39	1517.5
plan9	29	10	0.02	3540.2
plan10	20	8	0.01	370.2
plan11	27	7	0.03	772.3
plan12	35	10	3.14	2284.6
plan13	33	8	0.39	1843.3
plan14	31	9	0.78	1853.5
plan15	46	10	1.19	2197.1
plan16	28	19	0.41	8
plan17	104	23	9.47	8844.2
plan18	121	23	230.11	8172.4
plan19	242	34	313.09	19456.69
plan20	167	33	179.31	14785.99
