Pfile	Actions	Goals	PlanTime	Cost
pfile1	1	3	0.01	27.257
pfile2	6	3	0.02	30.51
pfile3	7	5	0.01	18.653
pfile4	10	5	0.02	76.885
pfile5	21	4	0.02	42.492
pfile6	17	5	0.01	63.635
pfile7	15	6	0.41	88.181
pfile8	24	7	0.01	243.482
pfile9	29	7	0.45	99.19
pfile10	46	9	0.03	334.396
pfile11	18	8	0.41	109.17
pfile12	30	8	0.42	128.135
pfile13	37	10	0.41	140.762
pfile14	48	12	2.36	480.107
pfile15	58	14	2.38	495.77
pfile16	60	17	9.02	296.456
pfile17	104	23	51.47	420.545
pfile18	96	21	25.53	238.058
pfile19	105	27	39.16	421.927
pfile20	136	25	87.44	925.039
