Pfile	Actions	Goals	PlanTime	Cost
pfile1	1	3	0.41	13564
pfile2	6	3	0.01	6786.3
pfile3	11	5	0.02	12105.6
pfile4	11	5	0.01	19964.61
pfile5	20	4	0.02	12556.3
pfile6	14	5	0.78	21303
pfile7	19	6	0.01	15521.1
pfile8	16	7	0.03	32119
pfile9	31	7	0.01	34261.11
pfile10	34	9	0.39	87574.11
pfile11	21	8	0.02	59742.32
pfile12	27	8	0.45	28501.79
pfile13	36	10	0.39	77631.33
pfile14	44	12	1.15	213473.44
pfile15	60	14	2.77	125190.55
pfile16	61	17	5.45	91873.74
pfile17	102	23	20	305940.47
pfile18	85	21	34	82597.05
pfile19	128	27	63.2	233018
pfile20	119	25	319.98	295004.06
